Epoch,train_acc,test_acc
423,97.06,66.82
424,96.82,67.14
425,96.67,67.01
426,96.89,67.2
427,97.02,66.37
428,96.82,66.69
429,96.75,67.53
430,96.79,66.43
431,96.68,66.95
432,97.36,66.49
433,97.14,67.07
434,96.96,66.75
435,96.68,66.82
436,97.06,67.07
437,97.09,66.75
438,97.09,66.37
439,97.06,66.88
440,96.89,66.95
441,96.84,67.07
442,97.19,66.49
443,97.31,66.56
444,97.28,66.75
445,97.47,66.88
446,97.28,66.69
447,97.11,66.75
448,97.36,66.49
449,96.85,67.14
450,97.35,67.2
451,97.35,66.69
452,97.4,66.56
453,96.79,66.95
454,97.42,66.43
455,97.33,66.82
456,96.92,66.69
457,97.48,66.56
458,97.16,66.75
459,97.47,66.3
460,97.53,66.69
461,97.5,66.43
462,97.38,66.62
463,97.3,66.24
464,97.72,66.69
465,97.18,66.62
466,97.38,66.43
467,97.86,65.4
468,97.43,66.17
469,97.77,66.62
470,97.98,66.43
471,97.6,66.95
472,97.59,65.72
473,97.48,66.04
474,97.6,65.91
475,97.01,66.56
476,97.7,66.69
477,97.47,66.37
478,97.4,66.88
479,97.84,66.62
480,97.55,65.98
481,97.72,66.56
482,97.26,66.17
483,97.76,67.01
484,97.99,66.69
485,98.01,66.82
486,97.6,66.3
487,97.81,66.62
488,97.86,66.56
489,98.01,67.01
490,97.94,66.75
491,97.93,66.43
492,97.96,66.43
493,98.01,66.95
494,97.94,66.56
495,97.96,66.62
496,98.32,67.33
497,98.13,66.69
498,98.01,67.01
499,97.77,66.69
500,98.21,66.56
501,98.2,66.62
502,98.08,66.37
503,97.77,66.62
504,98.03,66.37
505,98.32,66.75
506,98.04,66.88
507,98.03,66.49
508,98.1,66.49
509,98.04,66.3
510,98.23,66.49
511,97.87,66.49
512,98.27,66.24
513,98.08,66.62
514,98.32,66.17
515,98.13,66.62
516,98.16,66.49
517,98.33,66.69
518,98.45,66.04
519,98.18,66.62
520,98.33,66.95
521,98.11,66.49
522,98.38,66.24
523,98.2,66.04
524,98.45,66.3
525,98.3,66.43
526,98.3,66.17
527,98.23,66.88
528,98.15,66.37
529,98.45,67.01
530,98.32,67.01
531,98.25,66.37
532,98.11,66.62
533,98.71,66.95
534,98.32,66.75
535,98.59,66.75
536,98.42,67.07
537,98.38,66.43
538,98.38,67.07
539,98.54,67.14
540,98.45,66.49
541,98.52,66.95
542,98.52,66.49
543,98.23,66.62
544,98.54,66.82
545,98.66,67.07
546,98.54,66.62
547,98.69,67.4
548,98.69,66.75
549,98.67,67.07
550,98.47,67.4
551,98.47,66.24
552,98.69,66.56
553,98.62,66.37
554,98.38,66.82
555,98.59,66.43
556,98.81,66.37
557,98.79,66.11
558,98.72,65.98
559,98.78,66.24
560,98.54,66.24
561,99.1,66.49
562,98.62,66.17
563,98.61,66.49
564,98.62,66.62
565,98.78,66.62
566,98.76,66.43
567,98.79,66.56
568,98.91,66.11
569,98.83,66.43
570,98.98,66.37
571,98.86,66.3
572,98.79,66.24
573,98.83,66.17
574,99.03,66.37
575,98.89,66.11
576,98.69,66.82
577,99.1,66.11
578,98.93,66.3
579,98.84,66.56
580,98.98,66.43
581,98.86,66.17
582,98.89,66.17
583,99.15,66.04
584,99.03,66.49
585,98.98,66.04
586,98.91,66.43
587,98.78,66.62
588,98.78,66.37
589,99.01,67.01
590,98.78,66.56
591,98.91,66.3
592,98.79,66.95
593,98.88,66.56
594,98.93,66.62
595,98.86,66.62
596,98.91,66.17
597,98.95,66.43
598,98.89,66.56
599,98.83,66.88
600,99.08,66.95
601,98.74,65.72
602,98.88,66.37
603,99.1,66.82
604,99.05,66.43
605,99.18,66.75
606,98.88,66.43
607,99.06,66.11
608,98.98,66.37
609,99.01,66.88
610,98.93,66.95
611,98.93,66.69
612,99.23,66.95
613,99.12,66.88
614,99.23,67.01
615,99.15,66.56
616,98.96,66.88
617,98.89,65.85
618,99.0,66.43
619,99.15,66.49
620,98.95,66.24
621,99.18,66.69
622,99.01,65.79
623,99.13,66.24
624,99.27,67.07
625,99.12,65.98
626,99.12,67.2
627,99.22,67.4
628,99.01,67.2
629,99.15,67.14
630,99.2,66.56
631,99.3,66.95
632,99.17,66.17
633,99.22,66.95
634,98.98,66.24
635,99.42,66.49
636,99.29,66.17
637,99.18,66.88
638,99.18,67.07
639,99.18,66.49
640,99.27,66.56
641,99.06,66.88
642,99.23,66.75
643,99.15,66.62
644,99.18,66.75
645,99.29,66.43
646,99.4,66.43
647,99.15,67.01
648,99.05,66.62
649,99.22,67.01
650,99.3,66.37
651,99.23,65.85
652,99.3,67.07
653,99.25,66.62
654,99.27,67.2
655,99.37,66.3
656,99.22,67.2
657,99.22,65.4
658,99.37,66.62
659,99.32,66.62
660,99.17,66.88
661,99.22,66.88
662,99.2,66.3
663,99.32,66.3
664,99.37,67.46
665,99.44,66.24
666,99.27,65.53
667,99.25,66.62
668,99.18,66.04
669,99.25,66.43
670,99.46,66.11
671,99.25,66.17
672,99.39,66.37
673,99.44,66.17
674,99.39,66.49
675,99.13,66.43
676,99.4,66.04
677,99.29,66.49
678,99.51,66.3
679,99.46,66.04
680,99.35,66.24
681,99.4,66.56
682,99.35,66.43
683,99.17,67.01
684,99.39,66.75
685,99.51,66.82
686,99.32,66.49
687,99.51,67.4
688,99.42,65.79
689,99.35,66.88
690,99.4,67.07
691,99.37,67.07
692,99.35,66.62
693,99.4,66.17
694,99.42,66.75
695,99.54,66.69
696,99.25,66.49
697,99.49,66.24
698,99.46,65.79
699,99.56,66.37
700,99.44,66.43
701,99.35,67.2
702,99.61,66.88
703,99.44,66.37
704,99.54,67.53
705,99.46,65.59
706,99.44,66.82
707,99.37,66.56
708,99.34,66.95
709,99.51,66.62
710,99.54,66.95
711,99.52,67.14
712,99.66,67.27
713,99.49,66.82
714,99.54,66.49
715,99.64,66.49
716,99.42,67.2
717,99.54,66.62
718,99.56,67.07
719,99.68,67.07
720,99.34,67.2
721,99.4,66.95
722,99.56,67.14
723,99.51,66.88
724,99.37,66.17
725,99.64,67.14
726,99.57,66.49
727,99.56,66.43
728,99.47,66.62
729,99.57,66.49
730,99.57,66.37
731,99.52,66.88
732,99.69,66.75
733,99.49,67.01
734,99.63,66.82
735,99.42,66.56
736,99.57,66.24
737,99.42,66.69
738,99.61,66.49
739,99.63,66.62
740,99.64,66.56
741,99.57,66.82
742,99.47,66.82
743,99.54,66.49
744,99.56,66.49
745,99.59,66.62
746,99.46,66.37
747,99.56,66.11
748,99.44,66.62
749,99.71,65.85
